city,region,year,population,lon,lat
BERGEN,Scandinavia,1500,0,5.33,60.389444
COPENHAGEN,Scandinavia,1500,NA,12.56553,55.67594
GOTEBORG,Scandinavia,1500,0,11.96679,57.70716
KARLSKRONA,Scandinavia,1500,0,15.58661,56.16156
OSLO,Scandinavia,1500,0,10.74609,59.91273
STOCKHOLM,Scandinavia,1500,0,18.0649,59.33258
BATH,England and Wales,1500,0,-2.35907,51.37795
BIRMINGHAM,England and Wales,1500,0,-1.8980725,52.4813678
BLACKBURN,England and Wales,1500,0,-2.48333,53.75
BOLTON,England and Wales,1500,0,-2.4288874,53.577694
BRISTOL,England and Wales,1500,10,-2.583333,51.45
CAMBRIDGE,England and Wales,1500,0,0.124862,52.2033051
CARLISLE,England and Wales,1500,0,-2.9382,54.8951
CHATHAM,England and Wales,1500,0,0.5362,51.361
CHESTER,England and Wales,1500,0,-2.58333,53.16667
COLCHESTER,England and Wales,1500,5,0.90421,51.88921
COVENTRY,England and Wales,1500,7,-1.5113334,52.4080477
DERBY,England and Wales,1500,0,-1.4761491,52.9212617
EXETER,England and Wales,1500,10,-3.52751,50.7236
GREENWICH,England and Wales,1500,0,0.05,51.45
HUDDERSFIELD,England and Wales,1500,0,-1.78416,53.64904
HULL,England and Wales,1500,0,-0.33525,53.7446
IPSWICH,England and Wales,1500,0,1.15545,52.05917
KING'S LYNN,England and Wales,1500,5,0.39516,52.75172
LEEDS,England and Wales,1500,0,-1.5437941,53.7974185
LEICESTER,England and Wales,1500,4,-1.0,52.66667
LIVERPOOL,England and Wales,1500,0,-2.9805393,53.4054719
LONDON,England and Wales,1500,40,-0.1278328,51.5072648
MANCHESTER,England and Wales,1500,0,-2.23743,53.48095
NEWCASTLE,England and Wales,1500,10,-1.6,54.966667
NORWICH,England and Wales,1500,10,1.29834,52.62783
NOTTINGHAM,England and Wales,1500,0,-1.1487384,52.9533834
OLDHAM,England and Wales,1500,0,-2.1147831,53.5415797
OXFORD,England and Wales,1500,5,-1.25596,51.75222
PLYMOUTH,England and Wales,1500,2,-4.1424595,50.3712779
PORTSMOUTH,England and Wales,1500,0,-1.0744016,50.8065249
PRESTON,England and Wales,1500,0,-2.71667,53.76667
READING,England and Wales,1500,0,-0.9673727,51.4580216
SALFORD,England and Wales,1500,0,-2.29042,53.48771
SHEFFIELD,England and Wales,1500,0,-1.4528791,53.3856729
SHREWSBURY,England and Wales,1500,5,-2.75208,52.71009
STOCKPORT,England and Wales,1500,0,-2.1601108,53.4077455
SUNDERLAND,England and Wales,1500,0,-1.375053,54.9063791
WARRINGTON,England and Wales,1500,0,-2.5943178,53.3899497
WENLOCK,England and Wales,1500,0,-2.524,52.658
WIGAN,England and Wales,1500,0,-2.6264624,53.5457188
WOLVERHAMPTON,England and Wales,1500,0,-2.127567,52.5847651
WORCESTER,England and Wales,1500,0,-2.16667,52.16667
YARMOUTH,England and Wales,1500,5,1.73052,52.60831
YORK,England and Wales,1500,8,-1.0814175,53.9593817
ABERDEEN,Scotland,1500,0,-2.09814,57.14369
DUNDEE,Scotland,1500,0,-2.96667,56.5
EDINBURGH,Scotland,1500,NA,-3.1932723,55.9483399
GLASGOW,Scotland,1500,0,-4.2499891,55.861147
GREENOCK,Scotland,1500,0,-4.76121,55.94838
INVERNESS,Scotland,1500,0,-4.22398,57.47908
PAISLEY,Scotland,1500,0,-4.43254,55.83173
PERTH,Scotland,1500,0,-3.437,56.397
BELFAST,Ireland,1500,0,-5.93333,54.58333
CORK,Ireland,1500,0,-8.47061,51.89797
DUBLIN,Ireland,1500,0,-6.27113,53.38046
GALWAY,Ireland,1500,0,-9.04889,53.27194
KILKENNY,Ireland,1500,0,-7.25222,52.65417
LIMERICK,Ireland,1500,0,-8.62306,52.66472
NEWRY,Ireland,1500,0,-6.33739,54.17841
WATERFORD,Ireland,1500,0,-7.11194,52.25833
ALKMAAR,The Netherlands,1500,5,4.74861,52.63167
AMSTERDAM,The Netherlands,1500,14,4.88969,52.37403
ARNHEM,The Netherlands,1500,6,5.91111,51.98
DELFT,The Netherlands,1500,14,4.35556,52.00667
DORDRECHT,The Netherlands,1500,11,4.67361,51.81
ENKHUIZEN,The Netherlands,1500,4,5.29167,52.70333
GOUDA,The Netherlands,1500,11,4.70833,52.01667
GRONINGEN,The Netherlands,1500,14,6.56479,53.22368
HAARLEM,The Netherlands,1500,14,4.63683,52.38084
DEN HAAG,The Netherlands,1500,7,4.29861,52.07667
'S HERTOGENBOSCH,The Netherlands,1500,16,5.30417,51.69917
HOORN,The Netherlands,1500,6,5.05972,52.6425
LEEUWARDEN,The Netherlands,1500,4,5.783333,53.2
LEIDEN,The Netherlands,1500,14,4.49306,52.15833
MAASTRICHT,The Netherlands,1500,10,5.68889,50.84833
MIDDELBURG,The Netherlands,1500,0,3.616667,51.5
NIJMEGEN,The Netherlands,1500,12,5.85278,51.8425
ROTTERDAM,The Netherlands,1500,5,4.47917,51.9225
UTRECHT,The Netherlands,1500,20,5.12222,52.09083
ZAANDAM,The Netherlands,1500,7,4.82643,52.43854
ZWOLLE,The Netherlands,1500,0,6.09444,52.5125
AALST,Belgium,1500,0,4.0355,50.93604
ANTWERPEN,Belgium,1500,40,4.40346,51.21989
BRUGGE,Belgium,1500,30,3.22424,51.20892
BRUSSELS,Belgium,1500,35,4.34878,50.85045
DUNKERQUE,Belgium,1500,0,2.36667,51.05
GENT,Belgium,1500,40,3.71667,51.05
IEPER,Belgium,1500,10,2.88569,50.85114
KORTRIJK,Belgium,1500,5,3.26487,50.82803
LEUVEN,Belgium,1500,17,4.70093,50.87959
LIEGE,Belgium,1500,20,5.56749,50.63373
LIER,Belgium,1500,0,4.5042505,51.1193141
LILLE,Belgium,1500,25,3.05858,50.63297
LOKEREN,Belgium,1500,0,3.99339,51.10364
MECHELEN,Belgium,1500,25,4.47762,51.02574
MONS,Belgium,1500,15,3.95229,50.45413
NAMUR,Belgium,1500,0,4.86746,50.4669
OOSTENDE,Belgium,1500,0,2.91185,51.22339
SINT NIKLAAS,Belgium,1500,0,4.1437,51.16509
TOURNAI,Belgium,1500,25,3.38932,50.60715
VALENCIENNES,Belgium,1500,NA,3.53333,50.35
AACHEN,Germany,1500,15,6.08342,50.77664
ALTONA,Germany,1500,0,9.93333,53.55
ANSBACH,Germany,1500,0,10.58333,49.3
AUGSBURG,Germany,1500,20,10.88333,48.36667
BAMBERG,Germany,1500,0,10.90067,49.89873
BARMEN,Germany,1500,0,7.2,51.266667
BAUTZEN,Germany,1500,0,14.43494,51.18035
BERLIN,Germany,1500,12,13.41377,52.5233
BONN,Germany,1500,0,7.1002,50.73616
BRANDENBURG,Germany,1500,0,13.5,52.5
BRAUNSCHWEIG,Germany,1500,18,10.52333,52.26471
BREMEN,Germany,1500,18,8.79063,53.08891
BRESLAU (WROCLAW),Germany,1500,25,17.03533,51.10773
CHEMNITZ (K-MARX-ST),Germany,1500,0,12.916667,50.833333
DANZIG (GDANSK),Germany,1500,20,18.64637,54.35205
DRESDEN,Germany,1500,5,13.75,51.05
DUSSELDORF,Germany,1500,2,6.77425,51.22492
ELBERFELD,Germany,1500,0,7.133333,51.266667
ELBING (ELBLAG),Germany,1500,10,19.40884,54.1522
EMDEN,Germany,1500,0,7.20778,53.36745
ERFURT,Germany,1500,15,11.03283,50.9787
FLENSBURG,Germany,1500,0,9.43064,54.78624
FRANKFURT AM,Germany,1500,12,8.683333,50.116667
FRANKFURT AO,Germany,1500,11,14.55,52.35
FREIBURG,Germany,1500,5,7.16667,46.66667
FURTH,Germany,1500,0,10.98856,49.47593
GOTHA,Germany,1500,0,10.70193,50.94823
HALBERSTADT,Germany,1500,0,11.0572,51.8883
HALLE,Germany,1500,NA,12.0,51.5
HAMBURG,Germany,1500,14,10.01534,53.57532
HANAU,Germany,1500,0,8.916667,50.133333
HANNOVER,Germany,1500,0,9.73322,52.37052
HEIDELBERG,Germany,1500,0,8.69079,49.40768
HILDESHEIM,Germany,1500,11,9.95112,52.15077
KASSEL,Germany,1500,0,9.5,51.31667
KOLN,Germany,1500,30,6.95,50.93333
KONIGSBERG,Germany,1500,8,20.51095,54.70649
LEIPZIG,Germany,1500,10,12.37129,51.33962
LUBECK,Germany,1500,24,10.68729,53.86893
LUNEBURG,Germany,1500,0,10.4078,53.2329
MAGDEBURG,Germany,1500,18,11.64444,52.14167
MAINZ,Germany,1500,6,8.26882,50.00098
MANNHEIM,Germany,1500,0,8.47955,49.49671
MUNCHEN,Germany,1500,13,11.57549,48.13743
MUNSTER,Germany,1500,0,-8.71667,52.34333
NURNBERG,Germany,1500,36,11.07752,49.45421
POTSDAM,Germany,1500,0,13.06566,52.39886
QUEDLINBURG,Germany,1500,0,11.15006,51.78843
REGENSBURG,Germany,1500,NA,12.12361,49.04722
ROSTOCK,Germany,1500,0,12.14049,54.0887
SOEST,Germany,1500,12,8.10619,51.57558
STETTIN (SZCZECIN),Germany,1500,9,14.55302,53.42894
STRALSUND,Germany,1500,0,13.0818,54.30911
STUTTGART,Germany,1500,0,9.17702,48.78232
ULM,Germany,1500,17,9.99155,48.39841
WURZBURG,Germany,1500,10,9.93611,49.78778
ABBEVILLE,France,1500,NA,1.83333,50.1
AGEN,France,1500,0,0.63333,44.2
AIX EN PROVENCE,France,1500,NA,5.44973,43.5283
ALBI,France,1500,0,2.148,43.9298
ALENCON,France,1500,NA,0.08333,48.43333
AMIENS,France,1500,NA,2.3,49.9
ANGERS,France,1500,NA,-0.55,47.46667
ANGOULEME,France,1500,0,0.15,45.65
ARLES,France,1500,NA,4.63031,43.67681
ARRAS,France,1500,11,2.78186,50.29301
AUXERRE,France,1500,0,3.56667,47.8
AVIGNON,France,1500,NA,4.80892,43.94834
BAYEUX,France,1500,0,-0.7028,49.2794
BAYONNE,France,1500,0,-1.48,43.49
BEAUVAIS,France,1500,NA,2.08333,49.43333
BESANCON,France,1500,8,6.01815,47.248779999999996
BEZIERS,France,1500,NA,3.21899,43.34762
BLOIS,France,1500,NA,1.33333,47.58333
BORDEAUX,France,1500,20,-0.5805,44.84044
BOULOGNE,France,1500,2,2.25,48.83333
BOURGES,France,1500,NA,2.4,47.08333
BREST,France,1500,0,23.68775,52.09755
CAEN,France,1500,NA,-0.35912,49.18585
CAHORS,France,1500,0,1.43663,44.4491
CAMBRA!,France,1500,NA,3.2356,50.1767
CARCASSONNE,France,1500,0,2.35,43.21667
CASTRES,France,1500,0,2.25,43.6
CHALONS-SUR-MARNE,France,1500,NA,4.36724,48.95393
CHALONS-SUR-SAONE,France,1500,0,4.85,46.78333
CHARTRES,France,1500,0,1.48925,48.44685
CHERBOURG,France,1500,0,-1.61636,49.63984
CLERMONT-FERRAND,France,1500,0,3.08628,45.77966
COLMAR,France,1500,5,7.36667,48.08333
DIEPPE,France,1500,0,1.08333,49.93333
DIJON,France,1500,13,5.01667,47.31667
DOUAI,France,1500,NA,3.06667,50.36667
FALAISE,France,1500,0,-0.19527,48.89217
GRENOBLE,France,1500,0,5.71667,45.16667
LA ROCHELLE,France,1500,NA,-1.15,46.16667
LAVAL,France,1500,NA,-0.7689,48.0733
LE HAVRE,France,1500,0,0.10767,49.4938
LE MANS,France,1500,NA,0.2,48.0
LE PUY,France,1500,0,3.88523,45.04366
LIMOGES,France,1500,NA,1.2578,45.83153
LISIEUX,France,1500,0,0.22925,49.1466
LORIENT,France,1500,0,-3.36667,47.75
LYON,France,1500,50,4.84671,45.74846
MACON,France,1500,0,4.8313,46.3063
MARSEILLE,France,1500,NA,5.38107,43.29695
METZ,France,1500,15,6.17269,49.11911
MONTAUBAN,France,1500,NA,1.35,44.01667
MONTPELLIER,France,1500,6,3.87723,43.61092
MOULINS,France,1500,0,3.33333,46.56667
NANCY,France,1500,0,6.18496,48.68439
NANTES,France,1500,14,-1.55336,47.21725
NEVERS,France,1500,0,3.159,46.98956
NIMES,France,1500,0,4.35,43.83333
NIORT,France,1500,0,-0.45877,46.32313
ORLEANS,France,1500,NA,1.90389,47.90289
PARIS,France,1500,100,2.3488,48.85341
PERPIGNAN,France,1500,0,2.89541,42.69764
POITIERS,France,1500,NA,0.33333,46.58333
REIMS,France,1500,NA,4.03333,49.25
RENNES,France,1500,12,-1.67429,48.11198
RIOM,France,1500,0,3.11667,45.9
ROCHEFORT,France,1500,0,-0.98333,45.93333
ROUEN,France,1500,40,1.09932,49.44313
SAINT-ETIENNE,France,1500,0,4.4,45.43333
SAINT-MALO,France,1500,4,-2.01667,48.65
SAINT-OMER,France,1500,11,2.25,50.75
