from,to,sections_borrowed
NY1853,NY1850,1715
NY1879,NY1876,1466
NE1855,IA1851,1033
MT1895,CA1872,997
AL1867,AL1852,752
AL1887,AL1876,748
NE1857,NE1855,732
ID1881,CA1872,726
MA1858,MA1836,713
AK1900,OR1862,707
WI1849,NY1829,707
SD1887,CA1872,705
KY1854,KY1851,666
OH1879,OH1853extended,652
WI1858,WI1849,650
WV1868,VA1860,604
CA1858,CA1851,589
AL1876,AL1867,584
AR1868,KY1854,574
CA1868,CA1858,540
NV1861,CA1858,540
NE1866,NE1859,538
OK1891,IN1852,538
MN1851,NY1850,529
WY1886,OH1879,498
OK1893,KS1868,497
KS1868,KS1859,454
NE1859,OH1853extended,444
KS1859,OH1853extended,443
MN1859,MN1851,442
AZ1865,CA1858,435
DE1893,DE1874,420
WA1873,WA1855,411
AR1874,AR1868,397
NV1869,NV1861,379
AZ1887,CA1872,368
DE1874,DE1852,368
NY1849,NY1848,348
MT1895,AZ1887,342
ID1864,CA1858,331
NY1850,NY1849,331
SD1887,ND1877,329
CA1851,NY1850,320
WOOD1857,CA1851,320
ID1864,NV1861,316
MN1851,WI1849,294
MO1879,MO1856,288
NY1851,NY1849,271
AL1876,AL1852,269
IA1859,IA1851,265
CA1872,CA1868,254
ND1862,NE1859,251
MT1865,CA1858,250
OR1862,OR1854,236
UT1870,NV1869,226
WI1858,WI1856,222
UT1884,CA1872,220
DC1857,IN1852,219
NY1851,NY1850,209
UT1859,OR1854,204
FL1847,FL1839,200
OH1853,KY1851,199
WY1870,NE1866,198
OR1862,NY1853,197
CA1872,CA1858,190
OH1853extended,KY1851,190
NE1866,OH1853extended,188
KS1868,OH1853extended,187
MN1859,NY1853,186
ND1862,OH1853extended,178
ND1877,CA1872,172
OR1854,CA1851,168
FL1892,FL1847,163
WA1855,IN1852,162
WA1855,OR1854,162
CO1868,IL1866,156
MO1856,MO1835,152
MT1865,NV1861,152
CA1850,NY1849,149
OH1879,OH1853,148
UT1884,ID1881,136
WY1870,OH1853extended,136
IA1859,KY1854,130
WI1856,NY1851,128
WY1886,WY1870,127
WA1873,CA1872,123
CA1851,CA1850,122
NM1897,NM1865,120
OK1893,OH1853extended,116
MO1849,NY1848,115
WI1849,MA1836,115
ND1868,NY1851,110
OR1854,NY1853,105
SC1870,NC1868,105
UT1870,AZ1865,103
MO1856,MO1849,101
AL1843,AL1828,100
TX1855,KY1854,99
GA1860,GA1851,97
KY1851,NY1850,95
UT1859,WA1855,95
DE1893,DE1852,93
NY1876,NY1853,92
IN1843,NY1829,90
NC1868,NY1851,90
TN1858,AL1852,90
ID1881,ID1864,89
OH1853,NY1850,89
TX1855,IN1852,88
SC1870,NY1851,86
NV1869,CA1858,85
OH1853extended,NY1850,85
DC1857,OH1853extended,83
FL1870,NY1851,82
IN1852,KY1851,79
FL1870,NC1868,78
NY1850,NY1829,78
IN1852,IN1843,74
NM1897,MO1879,72
CO1877,AZ1865,71
TN1858,IA1851,71
NY1853,NY1851,69
IA1851,NY1850,67
CT1854,CT1824,66
CA1868,CA1851,62
CO1877,CA1872,61
CT1908,CT1854,59
ND1877,ND1868,57
OK1891,DC1857,56
CA1858,WOOD1857,53
ME1840,MA1836,51
MD1855,GB1852,33
MS1850,NY1849,14
UT1853,IA1851,14
VA1893,CT1879,12
