name,distance
NY1853,0
NY1879,2
NE1855,2
MT1895,4
AL1867,Inf
AL1887,Inf
NE1857,3
ID1881,4
MA1858,Inf
AK1900,2
WI1849,Inf
SD1887,3
KY1854,2
OH1879,2
WI1858,2
WV1868,Inf
CA1858,2
AL1876,Inf
AR1868,3
CA1868,2
NV1861,3
NE1866,2
OK1891,3
MN1851,1
WY1886,3
OK1893,2
KS1868,2
NE1859,2
KS1859,2
MN1859,1
AZ1865,3
DE1893,Inf
WA1873,3
AR1874,4
NV1869,3
AZ1887,4
DE1874,Inf
NY1849,0
ID1864,3
NY1850,0
CA1851,1
WOOD1857,2
MO1879,3
NY1851,0
IA1859,2
CA1872,3
ND1862,2
MT1865,3
OR1862,1
UT1870,4
UT1884,4
DC1857,2
UT1859,2
FL1847,Inf
OH1853,1
WY1870,2
OH1853extended,1
ND1877,2
OR1854,1
FL1892,Inf
WA1855,2
CO1868,Inf
MO1856,2
CA1850,1
WI1856,1
NM1897,4
MO1849,1
ND1868,1
SC1870,1
AL1843,Inf
TX1855,3
GA1860,Inf
KY1851,1
NY1876,1
IN1843,Inf
NC1868,1
TN1858,2
FL1870,1
IN1852,2
CO1877,4
IA1851,1
CT1854,Inf
CT1908,Inf
ME1840,Inf
MD1855,Inf
MS1850,1
UT1853,2
VA1893,Inf
AL1852,Inf
MA1836,Inf
NY1829,Inf
VA1860,Inf
DE1852,Inf
NY1848,0
FL1839,Inf
IL1866,Inf
MO1835,Inf
NM1865,Inf
AL1828,Inf
GA1851,Inf
CT1824,Inf
GB1852,Inf
CT1879,Inf
