source,target,weight
"Abbot, Francis Ellingwood","Garrison, William Lloyd",2
"Abbott, Edward","Garrison, William Lloyd",1
"Abbott, Lyman","Garrison, William Lloyd",3
"Adam, William","Chapman, Maria Weston",1
"Adams, Charles P.","Garrison, William Lloyd",1
"Adams, F. G.","Garrison, William Lloyd",2
"Adams, Henry","Garrison, William Lloyd",1
"Adams, John Quincy",Cinque.,1
Addie.,"Weston, Anne Warren",1
"Aguilera, Francisco V.","Céspedes, Ramón.",1
"Albee, O. W.","Garrison, William Lloyd",1
"Albright, Arthur","Garrison, William Lloyd",4
"Albright, Rachel A.","Garrison, William Lloyd",1
"Alcott, Abba May","Garrison, William Lloyd",1
"Alden, Seth","May, Samuel",1
"Aldrich, J. M.","Chapman, Maria Weston",2
"Allen, Annie.","Chapman, Maria Weston",5
"Allen, Charles","Garrison, William Lloyd",1
"Allen, D. M.","Garrison, William Lloyd",1
"Allen, Ephraim W.","Garrison, William Lloyd",1
"Allen, Jacob H.","Garrison, William Lloyd",1
"Allen, Macon B.","Garrison, William Lloyd",1
"Allen, Nathaniel T.","Garrison, William Lloyd",3
"Allen, Otis","Garrison, William Lloyd",1
"Allen, Richard","Chapman, Maria Weston",4
"Allen, Richard","Garrison, William Lloyd",3
"Allen, Stafford.","Garrison, William Lloyd",1
"Allen, William G.","Garrison, William Lloyd",1
"Alset, George M.","Garrison, William Lloyd",1
"Ames, Charles Gordon","Garrison, William Lloyd",1
"Ammidon, Angelina.","Weston, Anne Warren",1
"Ammidon, Sylvia Ann.","Weston, Deborah",13
"Amos, J.","Garrison, William Lloyd",1
"Andrew, John A.","Garrison, William Lloyd",7
"Andrews, John.","Garrison, William Lloyd",1
"Andrews, Stephen Pearl","Garrison, William Lloyd",1
"Anthony, John Gould","Garrison, William Lloyd",1
"Anthony, Susan B.","Garrison, William Lloyd",13
"Antoine, Caesar Carpentier","Garrison, William Lloyd",1
"Appleton, Daniel Fuller","Garrison, William Lloyd",3
Appomattox,"Leigh, Benjamin Watkins",1
"Argyll, Elizabeth Georgiana Campbell","Chapman, Maria Weston",1
"Argyll, Elizabeth Georgiana Campbell","Garrison, William Lloyd",1
"Armistead, Wilson","Garrison, William Lloyd",1
"Armstrong, Frances.","Garrison, William Lloyd",2
"Armstrong, Frances.","May, Samuel",7
"Armstrong, George","May, Samuel",12
"Arnold, Elizabeth Rotch",Weston,3
"Arnold, Elizabeth Rotch","Weston, Caroline",2
"Arnold, Elizabeth Rotch","Weston, Deborah",2
"Arnold, Isaac Newton","Garrison, William Lloyd",1
"Arnold, Sarah Rotch.","Chapman, Maria Weston",1
"Arnoth, G. U.","Garrison, William Lloyd",1
"Arthington, Robert.","Garrison, William Lloyd",1
"Ashby, Jane.","Garrison, William Lloyd",6
"Ashley, James Mitchell","Garrison, William Lloyd",2
"Ashley, Thomas.","Garrison, William Lloyd",1
"Ashley, William.","Garrison, William Lloyd",3
"Ashmead, L. P.","Weston, Deborah",3
"Ashurst, W. H.","Garrison, William Lloyd",6
"Ashurst, William Henry.","Garrison, William Lloyd",5
"Assing, Ottilie.","Garrison, William Lloyd",2
"Atkinson, Edward","Garrison, William Lloyd",1
"Atkinson, William P.","Garrison, William Lloyd",1
"Babcock, Amory L.","Garrison, William Lloyd",1
"Babcock, William Gustavus","Garrison, William Lloyd",2
"Bacon, George Allen","Garrison, William Lloyd",1
"Bacon, Steuben T.","Garrison, William Lloyd",2
"Badger, Henry C.","Garrison, William Lloyd",1
"Bailey, John","Garrison, William Lloyd",1
"Bailey, William Shreve","Garrison, William Lloyd",1
"Baker, Edward L.","Chapman, Maria Weston",2
"Ball, Lucy M.","Weston, Anne Warren",1
"Ballou, Adin","Draper, Ebenezer Daggett",1
"Ballou, Adin","Garrison, William Lloyd",4
"Ballou, Adin","May, Samuel",1
"Bancroft, Aaron","May, Samuel",1
"Banks, Frederick Charles.","Garrison, William Lloyd",2
"Banks, Nathaniel Prentiss","Garrison, William Lloyd",1
"Barbour, John N.","Garrison, William Lloyd",1
"Barker, Joseph","Garrison, William Lloyd",7
"Barker, Thomas H.","Garrison, William Lloyd",25
"Barlow, Hablo.","Chapman, Maria Weston",1
"Barnaby, James.","Garrison, William Lloyd",1
"Barnes, Albert","Phillips, Wendell",1
"Barnet, James.","Garrison, William Lloyd",1
"Barney, Nathaniel.","Chapman, Maria Weston",3
"Barney, Nathaniel.","Garrison, William Lloyd",6
"Barney, Nathaniel.","Weston, Anne Warren",2
"Barrett, Samuel.","Garrison, William Lloyd",1
"Bartlett, E. H.","Garrison, William Lloyd",1
"Bartol, C. A.","Garrison, William Lloyd",3
"Battles, A.","Garrison, William Lloyd",5
"Beard, J. R.","Channing, William Ellery",1
"Bearse, Austin.","Bowditch, William I.",1
"Beattie, Robert.","Garrison, William Lloyd",1
"Beaufoy, Henry","Phillips, J.",1
"Becker, Lydia","Garrison, William Lloyd",1
"Beecher, Henry Ward","Garrison, William Lloyd",2
"Belcher, Edwin","Garrison, William Lloyd",1
"Benedict, Seth Williston","Nash, Daniel D.",1
"Benezet, Anthony","Ady, John",1
"Benezet, Anthony","Lofft, Capel",1
"Benezet, Anthony","Warburton, William",1
"Benson, George William","Benson, Henry Egbert",1
"Benson, George William","Garrison, William Lloyd",1
"Benson, Henry Egbert","Garrison, William Lloyd",1
"Bent, N. T.","Weston, Deborah",1
"Berlioux, Etienne Félix","Cooper, Joseph",1
"Berry, M. E.","Garrison, William Lloyd",1
"Bevan, Hannah M.","Chapman, Maria Weston",5
"Biggs, E. Ashurst.","Garrison, William Lloyd",2
"Biggs, Matilda Ashurst.","Garrison, William Lloyd",1
"Bird, F. W.","Garrison, William Lloyd",2
"Bird, Jerusha L.","Chapman, Maria Weston",2
"Bird, S.","Chapman, Maria Weston",1
"Bird, S. V.","Garrison, William Lloyd",1
"Birney, James Gillespie","Coffin, Joshua",2
"Birney, James Gillespie","Garrison, William Lloyd",1
"Birney, John.","Garrison, William Lloyd",1
"Bishop, Francis","Garrison, William Lloyd",5
"Blackwell, Antoinette Louisa Brown","Garrison, William Lloyd",2
"Blackwell, Henry Browne","Garrison, William Lloyd",7
"Blackwell, Henry Browne","Harwood, E.",1
"Blair, Montgomery","Garrison, William Lloyd",1
"Blanchard, George A.","Blanchard, Frances Ann Brown Sargent",1
"Bleby, Henry","Garrison, William Lloyd",4
"Blinn, Henry Clay","Garrison, William Lloyd",1
"Blumer, John George.","Garrison, William Lloyd",1
"Boker, George H.","Garrison, William Lloyd",1
"Bomen, John W.","Chapman, Maria Weston",1
"Bond, Hugh L.","Garrison, William Lloyd",1
"Borchardt, Louis","Garrison, William Lloyd",1
"Borchardt, M.","Garrison, William Lloyd",1
"Borden, Nathaniel B.","Garrison, William Lloyd",1
"Bourne, Theodore","Garrison, William Lloyd",6
"Bowden, William J.","Garrison, William Lloyd",1
"Bowditch, Henry I.","Garrison, William Lloyd",3
"Bowditch, Henry I.","Wallcut, Robert Folger",1
"Bowditch, Jonathan Ingersoll","Garrison, William Lloyd",1
"Bowditch, William I.","Garrison, William Lloyd",2
"Bowditch, William I.","May, Samuel",1
"Bowditch, William I.","Weston, Anne Warren",1
"Bowe, Obadiah Allen","Garrison, William Lloyd",1
"Bowles, Samuel","May, Samuel",1
"Bowring, John","Chapman, Maria Weston",1
"Boyce, Eliza.","Chapman, Maria Weston",2
"Boyle, James.","Garrison, William Lloyd",1
"Bradburn, George","Garrison, William Lloyd",1
"Bradford, Charlotte.",Weston,1
"Bradford, Charlotte.","Weston, Anne Warren",1
"Bradford, Claudius.","Chapman, Maria Weston",1
"Brady, Mary.","Chapman, Maria Weston",3
"Brady, Mary.","Garrison, William Lloyd",1
"Brainard, Charles H.","Garrison, William Lloyd",1
"Bramhall, Ann Rebecca.","Chapman, Maria Weston",1
"Bramhall, Ann Rebecca.",Weston,1
"Bramhall, Ann Rebecca.","Weston, Anne Warren",1
"Bramhall, Cornelius.","Chapman, Maria Weston",1
"Bramhall, Cornelius.","Garrison, William Lloyd",3
"Bratton, E. E.","Garrison, William Lloyd",1
"Brigham, Charles","Garrison, William Lloyd",1
"Bright, Jacob","Garrison, William Lloyd",1
"Brisbane, William Henry","Garrison, William Lloyd",1
"Brooke, Abraham.","Chapman, Maria Weston",3
"Brooke, Abraham.","Garrison, William Lloyd",3
"Brooks, George M.","Garrison, William Lloyd",1
"Brooks, Mary Merrick","Chapman, Maria Weston",11
"Brooks, Mary Merrick","Garrison, William Lloyd",2
"Brooks, Mary Merrick","May, Samuel",1
"Brooks, Mary Merrick","Weston, Anne Warren",2
"Brooks, Mary Merrick","Weston, Caroline",2
"Brown, A. P.","Garrison, William Lloyd",1
