GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ADQ001,ADZ001,AD9001,AEW001,AEW002,AEW003,AEW004,AEW005,AEW006,AE6001,AE6002,AE6003,ADR001,ADR002,ADS001,ADU001,ADV001,ADV002,ADX001,AD0001,AD0002,AD0003,AD1001,AD1002,AD1003,AD1004,AD1005,AD1006,AD4001,AD4002,AD4003,AD4004,AD5001,AD5002,AD6001,AD6002,AEM001,AEM002,AET001,AET002,AET003,AET004,AET005,AET006,AET007,AET008,AET009,AET010,AET011,AET012,AET013,AET014,AET015,AET016,AET017,AET018,AET019,AET020,AET021,AET022,AET023,AE0001,AE0002,AE0003,AE0004,AE0005,AE0006,AE0007,AE0008,AE0009,AE0010,AE0011,AE0012,AE0013,AE0014,AE0015,AE0016,AE0017,AE0018,AE0019,AE0020,AE0021,AE0022,AE0023,AE0024,AE0025,AE0026,AE0027,AE0028,AE0029,AE0030,AE1001,AE1002,AE2001,AE2002,AE2003,AE2004,AE2005,AE2006,AE2007,AE2008,AE2009,AE2010,AE2011,AE2012,AE2013,AE2014,AE2015,AE4001,AE5001
"G0100010","1850","Alabama","010","Autauga","0010","Autauga",15023,0,0,3231,3043,7,12,4352,4378,6274,19,8730,233,208,441,,92,154,1114,0,30,1,0,0,30,649,3,61,591,521,0,0,1112,0,1111,1,2245,57,14,0,,,,1,2,,,,0,,24,,2,,0,,,0,0,0,0,215,1098,1120,1012,792,1328,859,571,324,190,62,12,3,4,0,226,1006,1159,1040,885,1243,848,533,261,162,50,18,2,0,0,7590,7433,441,2104,2279,2052,1677,2571,1707,1104,585,352,112,30,5,4,0,1,0
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin",4414,0,0,1161,939,42,54,1216,1002,2100,96,2218,60,60,120,,27,44,397,0,5,1,0,0,5,88,1,11,136,125,6,3,261,9,270,0,532,124,0,0,,,,0,0,,,,0,,2,,1,,0,,,2,0,0,0,65,297,348,258,210,430,347,232,133,67,21,7,2,1,1,55,329,300,260,194,367,225,140,72,36,10,4,1,2,0,2419,1995,120,626,648,518,404,797,572,372,205,103,31,11,3,3,1,1,0
"G0100050","1850","Alabama","010","Barbour","0050","Barbour",23632,0,0,6603,6239,7,3,5262,5518,12842,10,10780,432,380,812,,99,111,2306,0,18,6,0,0,19,435,11,240,665,556,0,0,1221,0,1219,2,7195,120,18,0,,,,0,0,,,,0,,12,,5,,0,,,0,0,0,0,433,1803,1867,1662,1200,2034,1268,798,463,247,69,22,3,3,0,379,1876,1857,1639,1313,2036,1220,779,370,204,54,24,6,3,0,11872,11760,812,3679,3724,3301,2513,4070,2488,1577,833,451,123,46,9,6,0,0,0
"G0100055","1850","Alabama","010","Benton","0055","Benton",17163,0,0,6834,6563,2,1,1874,1889,13397,3,3763,418,113,531,,99,46,2188,0,26,6,0,0,26,1633,7,206,1040,728,0,0,1768,0,1768,0,7798,36,13,0,,,,0,0,,,,0,,11,,1,,0,,,0,0,0,0,292,1216,1471,1250,1051,1428,878,547,314,185,60,10,3,0,5,239,1216,1452,1188,1007,1397,855,542,310,145,62,27,6,1,6,8710,8453,531,2432,2923,2438,2058,2825,1733,1089,624,330,122,37,9,1,11,0,0
"G0100070","1850","Alabama","010","Bibb","0070","Bibb",9969,0,0,3642,3455,4,7,1449,1412,7097,11,2861,192,83,275,,65,43,1153,0,20,0,0,0,20,400,0,0,647,480,0,0,1127,0,1127,0,2138,30,18,0,,,,0,0,,,,0,,10,,5,,0,,,0,0,0,0,130,767,830,748,621,868,453,325,202,97,33,18,3,0,0,145,728,830,664,620,836,439,289,172,80,45,21,5,0,0,5095,4874,275,1495,1660,1412,1241,1704,892,614,374,177,78,39,8,0,0,0,0
"G0100090","1850","Alabama","010","Blount","0090","Blount",7367,0,0,3520,3421,0,0,199,227,6941,0,426,227,14,241,,42,3,1127,0,20,0,0,0,20,435,0,0,393,319,0,0,712,0,712,0,2095,5,5,0,,,,0,0,,,,0,,7,,1,,0,,,0,0,0,0,113,621,654,571,408,534,331,212,148,77,35,13,1,1,0,128,516,609,530,421,650,366,208,113,76,19,12,0,0,0,3719,3648,241,1137,1263,1101,829,1184,697,420,261,153,54,25,1,1,0,0,0
"G0100130","1850","Alabama","010","Butler","0130","Butler",10836,0,0,3606,3556,19,16,1799,1840,7162,35,3639,171,85,256,,47,23,1210,0,3,3,0,0,3,91,6,144,504,412,0,0,916,0,916,0,2152,26,1,0,,,,0,0,,,,0,,1,,1,,0,,,0,0,0,0,133,828,886,775,604,811,508,346,343,136,34,16,3,1,0,123,832,865,817,652,828,561,354,219,118,31,10,1,0,1,5424,5412,256,1660,1751,1592,1256,1639,1069,700,562,254,65,26,4,1,1,0,0
"G0100170","1850","Alabama","010","Chambers","0170","Chambers",23960,0,0,6569,6215,7,11,5597,5561,12784,18,11158,382,360,742,,90,130,2138,1,44,6,4,85,45,1045,14,436,1130,958,0,0,2088,0,2088,0,8263,63,24,2,,,,0,0,,,,0,,11,,4,,0,,,0,0,0,0,382,1803,1992,1823,1443,1973,1220,775,445,204,88,18,6,1,0,360,1692,1947,1692,1471,2015,1161,728,403,218,67,25,5,3,0,12173,11787,742,3495,3939,3515,2914,3988,2381,1503,848,422,155,43,11,4,0,0,1
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee",13884,0,0,6180,5990,7,16,820,871,12170,23,1691,393,44,437,,81,25,2039,0,83,1,0,0,83,1292,1,30,1129,1175,0,0,2304,0,2302,2,7523,28,7,0,,,,0,0,,,,0,,12,,1,,0,,,0,0,0,0,232,1022,1143,1021,814,1123,680,495,262,137,61,12,5,0,0,205,969,1110,970,854,1240,644,451,240,130,42,14,6,2,0,7007,6877,437,1991,2253,1991,1668,2363,1324,946,502,267,103,26,11,2,0,0,0
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw",8389,0,0,2451,2169,0,0,1956,1813,4620,0,3769,120,72,192,,49,19,760,0,28,0,0,0,28,420,0,0,270,231,0,0,501,0,500,1,1611,37,5,0,,,,0,0,,,,0,,7,,0,,0,,,0,0,0,0,99,660,702,622,436,759,523,297,164,103,25,15,2,0,0,93,601,631,553,495,690,439,252,131,74,18,4,0,1,0,4407,3982,192,1261,1333,1175,931,1449,962,549,295,177,43,19,2,1,0,1,0
