GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ADF001,ADI001,ADI002,ADJ001,ADJ002,ADK001,ADK002,ADK003,ADK004,ADK005,ADK006,ADK007,ADM001,ADM002,ADM003,ADM004,ADM005,ADM006,ADM007,ADM008,ADM009,ADM010,ADM011,ADM012,ADM013,ADM014,ADM015,ADM016,ADM017,ADM018,ADM019,ADM020,ADM021,ADM022,ADM023,ADM024,ADM025,ADM026,ADM027,ADM028,ADM029,ADM030
"G0100010","1850","Alabama","010","Autauga","0010","Autauga",711,108172,173604,1368113,109692,1982,1596,4542,987,8491,5047,30444,3101,606,492381,56009,75647,1160,12016,12792,41892,5942,131650,23,0,0,100987,725,2440,0,0,0,0,0,0,0,0,0,0,0,0,18685
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin",121,6093,40254,120476,11563,459,485,3911,370,9619,4196,5982,6,43,74301,500,52075,0,628,2944,813,2005,23071,0,0,0,13335,945,1755,0,0,0,0,0,0,0,0,0,0,0,0,1355
"G0100050","1850","Alabama","010","Barbour","0050","Barbour",1325,147124,229149,1962320,148027,3077,1692,6301,1916,12084,9280,54950,9820,227,742132,81164,315080,0,21573,18843,57065,130,224127,0,0,0,61175,50,0,0,0,0,0,0,0,0,0,0,5290,0,11168,34295
"G0100055","1850","Alabama","010","Benton","0055","Benton",1227,74991,131603,1301300,115600,2807,921,4205,1598,6282,7560,34559,11168,64,580356,69452,17802,17008,5995,13295,14873,6470,92360,81,28,0,109276,979,28,0,56,7,0,0,120,3,0,0,0,0,0,17971
"G0100070","1850","Alabama","010","Bibb","0070","Bibb",654,53411,129744,621944,56797,2008,625,3699,994,7284,6730,25566,219,32,343455,19676,1184,312,4643,11762,3296,143,80547,5,3,0,50188,600,1,0,0,3,0,0,0,0,0,0,0,0,0,17273
"G0100090","1850","Alabama","010","Blount","0090","Blount",753,27915,43255,240656,32112,1500,187,2375,606,4006,4792,24784,4473,9,267025,21204,330,4271,248,8784,3193,3171,28420,8,0,0,41045,605,0,0,0,0,0,0,0,0,0,0,0,0,0,9802
"G0100130","1850","Alabama","010","Butler","0130","Butler",553,46551,102731,400170,46344,1565,421,3531,926,11997,6913,27543,5085,105,305272,17041,30930,0,4094,10851,910,21,84890,15,0,0,1402,200,0,0,0,0,0,0,0,0,0,0,0,0,42,25
"G0100170","1850","Alabama","010","Chambers","0170","Chambers",1342,171290,225261,2274615,169805,3778,1962,4830,2187,10442,12954,50509,20281,239,876038,118962,31043,196,17442,20037,24780,2312,166075,156,0,0,111712,0,0,0,36,4,0,0,0,0,0,0,0,0,45,51865
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee",1126,55158,126277,1182398,81110,3005,569,4269,1315,5857,6635,35413,15708,192,546986,68678,8296,23582,2717,10523,14204,8546,79645,10,21,0,108725,5596,48,4,61,13,0,0,837,40,0,160,0,2,0,12487
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw",445,43367,128318,649393,53754,1494,612,3557,1154,8156,3793,23890,470,80,269560,15305,78555,0,4433,7904,21281,3786,104911,0,0,0,29567,400,0,0,0,0,0,0,0,0,0,0,0,0,0,6752
"G0100250","1850","Alabama","010","Clarke","0250","Clarke",456,47927,163126,675460,69859,2058,595,5617,1234,9972,5961,32352,159,107,329061,20936,31117,801,4881,8954,9872,3246,105875,0,0,0,52447,474,9,0,0,0,0,0,0,0,0,0,35,0,2000,37112
"G0100310","1850","Alabama","010","Coffee","0310","Coffee",604,24820,36433,232001,30042,1054,112,4063,716,11885,2744,20266,1731,22,136610,6014,65863,785,1408,4120,9251,88,51359,20,0,70,24543,916,0,0,0,0,0,0,0,0,0,0,3,0,6953,19394
"G0100350","1850","Alabama","010","Conecuh","0350","Conecuh",498,55076,94615,426965,55781,1264,729,4507,962,12396,5815,23853,2031,48,300210,26360,75970,0,4628,11137,13721,1397,90375,0,0,0,35920,1075,0,0,0,0,0,0,0,0,150,0,1,0,397,14356
"G0100370","1850","Alabama","010","Coosa","0370","Coosa",1130,67081,161822,819211,81499,2230,668,4785,1410,9130,8101,31301,1700,26,418991,38798,137,30,5524,13131,18062,360,126233,0,0,0,113190,0,2160,0,0,0,0,0,0,0,0,0,0,0,0,29657
"G0100390","1850","Alabama","010","Covington","0390","Covington",138,9201,17901,90751,18846,781,43,4124,593,5900,1306,18272,178,66,80205,1854,37798,170,416,2540,2982,53,38789,0,0,0,17944,551,0,0,0,0,0,0,0,0,0,0,0,0,859,7449
"G0100450","1850","Alabama","010","Dale","0450","Dale",697,33565,68344,291522,47540,1289,158,3927,771,5483,3057,26320,3917,38,182396,12167,68950,505,2158,6512,17416,704,69408,1,0,0,26809,65,0,0,0,0,0,0,0,0,0,0,0,0,9986,19187
"G0100470","1850","Alabama","010","Dallas","0470","Dallas",749,205616,371973,3902668,369856,3813,4076,5706,1367,11301,12024,64660,5127,845,1267011,106525,123750,0,35275,21493,63847,9672,227298,80,0,0,112368,0,6467,0,0,0,0,0,0,0,0,0,0,0,2520,18634
"G0100490","1850","Alabama","010","DeKalb","0490","Dekalb",616,31972,47034,464967,30945,2088,243,2726,708,5154,3750,24910,3830,148,363225,75550,1524,6457,260,7182,5487,6062,34377,0,1,0,71260,3225,45,1,38,0,0,0,2141,15,0,10,0,1,0,7606
"G0100570","1850","Alabama","010","Fayette","0570","Fayette",1065,46641,99789,409649,60705,2106,279,4200,1268,7012,7068,9790,2473,65,326844,24865,16001,5120,2920,15539,8990,1474,65931,0,0,0,86820,652,753,0,0,0,0,0,0,0,0,0,2000,0,284,27030
"G0100590","1850","Alabama","010","Franklin","0590","Franklin",913,105461,296370,2196209,158408,3700,1484,4580,1700,8545,10176,50075,6130,697,892891,95556,357,765,15045,20809,54813,10189,69708,1465,0,0,33242,245,0,0,0,0,0,0,0,0,0,0,0,0,0,910
"G0100630","1850","Alabama","010","Greene","0630","Greene",1310,239367,287360,3705218,270481,4438,3945,7070,2175,12769,12962,65111,17815,1239,1336144,121658,34803,770,25680,26937,40755,11031,268267,79,4,7,137923,44,186,65,66,73,0,0,0,0,0,0,18,0,1170,40559
"G0100655","1850","Alabama","010","Hancock","0655","Hancock",144,6829,5258,40139,4745,401,25,712,226,1127,949,8159,260,18,39624,1920,13,2391,26,1594,258,694,7366,2,0,0,12199,234,0,0,0,0,0,0,0,0,0,70,0,0,0,1815
"G0100670","1850","Alabama","010","Henry","0670","Henry",671,52919,85004,603240,74549,1665,382,5419,1063,7938,5699,34776,2087,0,277356,36763,63191,0,5235,9438,10137,0,93340,0,0,0,47005,390,0,0,0,0,0,0,0,0,0,0,873,0,36133,12947
"G0100710","1850","Alabama","010","Jackson","0710","Jackson",856,73333,158696,952486,68795,4041,496,4555,1654,8995,10483,54788,2335,113,796201,72016,436,13555,2382,20769,8335,13413,43652,0,0,0,104452,1821,16,0,25,0,0,0,0,0,0,330,0,0,0,16059
"G0100730","1850","Alabama","010","Jefferson","0730","Jefferson",752,51921,85438,580808,55521,1755,674,3450,1009,6016,4414,29265,2040,99,342743,22861,2640,1355,2451,10319,3085,1154,45022,15,0,0,77429,933,1,0,0,0,0,0,0,0,0,0,0,0,0,22346
"G0100770","1850","Alabama","010","Lauderdale","0770","Lauderdale",1180,98646,141602,1637935,103888,3666,1307,3531,1603,5752,11849,43405,16301,1731,785145,80529,1024,6849,10606,19538,15462,17134,52159,52,165,0,104913,582,1474,0,13,0,0,0,300,0,0,0,0,0,0,9972
"G0100790","1850","Alabama","010","Lawrence","0790","Lawrence",930,125525,153286,1604406,123711,3831,1341,4072,1116,6188,8247,46778,4820,146,815114,88858,3630,3866,13427,17630,34923,11284,70786,660,0,0,168511,500,1734,0,2,0,0,0,0,0,0,0,0,0,0,13729
"G0100830","1850","Alabama","010","Limestone","0830","Limestone",649,103001,127215,1981287,143890,3542,1099,3101,2088,4842,8625,48590,3243,298,861664,85977,2199,15514,14809,15900,26092,13643,59571,52,21,0,96393,120,3324,28,24,97,0,0,108,0,3,0,0,0,0,12457
"G0100850","1850","Alabama","010","Lowndes","0850","Lowndes",874,157560,244447,1800772,160886,3426,2657,5529,1160,14260,10210,60497,3880,206,933287,95901,161155,1450,23872,17798,10525,5330,163505,13,0,0,74777,0,0,0,0,5,0,0,0,0,0,0,0,0,0,27074
"G0100870","1850","Alabama","010","Macon","0870","Macon",1203,186014,292729,2490003,169642,3307,2765,7206,2340,15745,10222,56743,13009,640,998867,187082,191140,20,29089,15411,15136,9683,288880,0,0,0,145533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35990
