code,col_name,category,meaning
ADF001,farms_total,Total number of farms,Total
ADI001,farms_land_improved,Improved/Unimproved land in farms,Improved
ADI002,farms_land_unimproved,Improved/Unimproved land in farms,Unimproved
ADJ001,farms_value_farms,"Value of Farms, Implements and Machinery",Farms
ADJ002,farms_value_tools,"Value of Farms, Implements and Machinery",Implements and machinery
ADK001,livestock_horses,Livestock,Horses
ADK002,livestock_mules,Livestock,Asses and mules
ADK003,livestock_milk_cows,Livestock,Milch cows
ADK004,livestock_oxen,Livestock,Working oxen
ADK005,livestock_other_cattle,Livestock,Other cattle
ADK006,livestock_sheep,Livestock,Sheep
ADK007,livestock_pigs,Livestock,Pigs
ADM001,crops_wheat,Farm Productions,Cereal grains: Wheat (bushels)
ADM002,crops_rye,Farm Productions,Cereal grains: Rye (bushels)
ADM003,crops_indian_corn,Farm Productions,Cereal grains: Indian corn (bushels)
ADM004,crops_oats,Farm Productions,Cereal grains: Oats (bushels)
ADM005,crops_rice,Farm Productions,Various crops: Rice (pounds)
ADM006,crops_tobacco,Farm Productions,Various crops: Tobacco (pounds)
ADM007,crops_ginned_cotton,Farm Productions,Various crops: Ginned cotton (400-pound bales)
ADM008,crops_wool,Farm Productions,Various crops: Wool (pounds)
ADM009,crops_peas_beans,Farm Productions,Various crops: Peas and beans (bushels)
ADM010,crops_irish_potatoes,Farm Productions,Various crops: Irish potatoes (bushels)
ADM011,crops_sweet_potatoes,Farm Productions,Various crops: Sweet potatoes (bushels)
ADM012,crops_barley,Farm Productions,Various crops: Barley (bushels)
ADM013,crops_buckwheat,Farm Productions,Various crops: Buckwheat (bushels)
ADM014,crops_wine,Farm Productions,"Flax, silk, sugar, etc.: Wine (gallons)"
ADM015,crops_butter,Farm Productions,"Flax, silk, sugar, etc.: Butter (pounds)"
ADM016,crops_cheese,Farm Productions,"Flax, silk, sugar, etc.: Cheese (pounds)"
ADM017,crops_hay,Farm Productions,"Flax, silk, sugar, etc.: Hay (tons)"
