GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,area_sq_km,population_total,population_nonwhite_free,population_nonwhite_free_female,population_nonwhite_free_male,population_nonwhite_slave,population_nonwhite_slave_female,population_nonwhite_slave_male,population_urban_over_2500,population_urban_over_25000,population_white_free,population_white_free_female,population_white_free_male,nativity_born_out_of_country,nativity_born_out_of_state,farms_land_improved,farms_land_unimproved,farms_total,farms_value_farms,farms_value_tools,livestock_horses,livestock_milk_cows,livestock_mules,livestock_other_cattle,livestock_oxen,livestock_pigs,livestock_sheep,crops_barley,crops_beeswax_honey,crops_buckwheat,crops_butter,crops_cane_molasses,crops_cane_sugar,crops_cheese,crops_clover_seed,crops_dew_hemp,crops_flax,crops_flaxseed,crops_ginned_cotton,crops_grass_seed,crops_hay,crops_hops,crops_indian_corn,crops_irish_potatoes,crops_maple_molasses,crops_maple_sugar,crops_oats,crops_peas_beans,crops_rice,crops_rye,crops_silk_cocoon,crops_sweet_potatoes,crops_tobacco,crops_water_hemp,crops_wheat,crops_wine,crops_wool,learning_academies_other,learning_colleges,learning_public_schools,learning_pupils_academies_other,learning_pupils_colleges,learning_pupils_public_schools,learning_teachers_academies_others,learning_teachers_college,learning_teachers_public_schools,students_foreign_born,students_free_colored,students_free_colored_female,students_free_colored_male,students_free_white,students_free_white_female,students_free_white_male,students_native,churches_baptist,churches_christian,churches_moravian,churches_congregational,churches_dutch_reformed,churches_episcopal,churches_free,churches_german_reformed,churches_jewish,churches_lutheran,churches_mennonite,churches_methodist,churches_minor_sects,churches_presbyterian,churches_protestant,churches_quakers,churches_roman_catholic,churches_swedenborgian,churches_tunker,churches_union,churches_unitarian,churches_universalist,births_free,births_slave,births_total,marriages_total,deaths_free,deaths_slave,sex_female,sex_male,age_00_to_01,age_01_to_04,age_05_to_09,age_10_to_14,age_15_to_19,age_20_to_29,age_30_to_39,age_40_to_49,age_50_to_59,age_60_to_69,age_70_to_79,age_80_to_89,age_90_to_99,age_over_100,age_unknown,sexage_female_00_to_01,sexage_female_01_to_04,sexage_female_05_to_09,sexage_female_10_to_14,sexage_female_15_to_19,sexage_female_20_to_29,sexage_female_30_to_39,sexage_female_40_to_49,sexage_female_50_to_59,sexage_female_60_to_69,sexage_female_70_to_79,sexage_female_80_to_89,sexage_female_90_to_99,sexage_female_over_100,sexage_female_unknown,sexage_male_00_to_01,sexage_male_01_to_04,sexage_male_05_to_09,sexage_male_10_to_14,sexage_male_15_to_19,sexage_male_20_to_29,sexage_male_30_to_39,sexage_male_40_to_49,sexage_male_50_to_59,sexage_male_60_to_69,sexage_male_70_to_79,sexage_male_80_to_89,sexage_male_90_to_99,sexage_male_over_100,sexage_male_unknown,dwellings_total,transport_rail,transport_water
G0100010,1850,Alabama,10,Autauga,10,Autauga,2553.48632645876,15023,19,12,7,8730,4378,4352,0,0,6274,3043,3231,57,2245,108172,173604,711,1368113,109692,1982,4542,1596,8491,987,30444,5047,23,18685,0,100987,0,0,725,0,0,0,0,12016,0,2440,0,492381,5942,0,0,56009,41892,75647,606,0,131650,1160,0,3101,0,12792,1,0,30,61,649,3,30,0,0,1,0,0,0,1112,521,591,1111,14,0,NA,NA,NA,1,2,NA,NA,0,NA,24,0,2,NA,NA,0,NA,NA,0,0,0,233,208,441,NA,92,154,7433,7590,441,2104,2279,2052,1677,2571,1707,1104,585,352,112,30,5,4,0,226,1006,1159,1040,885,1243,848,533,261,162,50,18,2,0,0,215,1098,1120,1012,792,1328,859,571,324,190,62,12,3,4,0,1114,0,1
G0100030,1850,Alabama,10,Baldwin,30,Baldwin,4979.03412747498,4414,96,54,42,2218,1002,1216,0,0,2100,939,1161,124,532,6093,40254,121,120476,11563,459,3911,485,9619,370,5982,4196,0,1355,0,13335,0,0,945,0,0,0,0,628,0,1755,0,74301,2005,0,0,500,813,52075,43,0,23071,0,0,6,0,2944,1,0,5,11,88,1,5,0,0,0,9,3,6,261,125,136,270,0,0,NA,NA,NA,0,0,NA,NA,0,NA,2,0,1,NA,NA,0,NA,NA,2,0,0,60,60,120,NA,27,44,1995,2419,120,626,648,518,404,797,572,372,205,103,31,11,3,3,1,55,329,300,260,194,367,225,140,72,36,10,4,1,2,0,65,297,348,258,210,430,347,232,133,67,21,7,2,1,1,397,0,1
G0100050,1850,Alabama,10,Barbour,50,Barbour,2707.47663381887,23632,10,3,7,10780,5518,5262,0,0,12842,6239,6603,120,7195,147124,229149,1325,1962320,148027,3077,6301,1692,12084,1916,54950,9280,0,34295,0,61175,11168,5290,50,0,0,0,0,21573,0,0,0,742132,130,0,0,81164,57065,315080,227,0,224127,0,0,9820,0,18843,6,0,18,240,435,11,19,0,0,2,0,0,0,1221,556,665,1219,18,0,NA,NA,NA,0,0,NA,NA,0,NA,12,0,5,NA,NA,0,NA,NA,0,0,0,432,380,812,NA,99,111,11760,11872,812,3679,3724,3301,2513,4070,2488,1577,833,451,123,46,9,6,0,379,1876,1857,1639,1313,2036,1220,779,370,204,54,24,6,3,0,433,1803,1867,1662,1200,2034,1268,798,463,247,69,22,3,3,0,2306,0,0
G0100055,1850,Alabama,10,Benton,55,Benton,2758.98494924573,17163,3,1,2,3763,1889,1874,0,0,13397,6563,6834,36,7798,74991,131603,1227,1301300,115600,2807,4205,921,6282,1598,34559,7560,81,17971,28,109276,0,0,979,0,0,120,3,5995,56,28,7,580356,6470,0,0,69452,14873,17802,64,0,92360,17008,0,11168,0,13295,6,0,26,206,1633,7,26,0,0,0,0,0,0,1768,728,1040,1768,13,0,NA,NA,NA,0,0,NA,NA,0,NA,11,0,1,NA,NA,0,NA,NA,0,0,0,418,113,531,NA,99,46,8453,8710,531,2432,2923,2438,2058,2825,1733,1089,624,330,122,37,9,1,11,239,1216,1452,1188,1007,1397,855,542,310,145,62,27,6,1,6,292,1216,1471,1250,1051,1428,878,547,314,185,60,10,3,0,5,2188,0,0
G0100070,1850,Alabama,10,Bibb,70,Bibb,2208.19786206259,9969,11,7,4,2861,1412,1449,0,0,7097,3455,3642,30,2138,53411,129744,654,621944,56797,2008,3699,625,7284,994,25566,6730,5,17273,3,50188,0,0,600,0,0,0,0,4643,0,1,3,343455,143,0,0,19676,3296,1184,32,0,80547,312,0,219,0,11762,0,0,20,0,400,0,20,0,0,0,0,0,0,1127,480,647,1127,18,0,NA,NA,NA,0,0,NA,NA,0,NA,10,0,5,NA,NA,0,NA,NA,0,0,0,192,83,275,NA,65,43,4874,5095,275,1495,1660,1412,1241,1704,892,614,374,177,78,39,8,0,0,145,728,830,664,620,836,439,289,172,80,45,21,5,0,0,130,767,830,748,621,868,453,325,202,97,33,18,3,0,0,1153,0,0
G0100090,1850,Alabama,10,Blount,90,Blount,2451.29869555881,7367,0,0,0,426,227,199,0,0,6941,3421,3520,5,2095,27915,43255,753,240656,32112,1500,2375,187,4006,606,24784,4792,8,9802,0,41045,0,0,605,0,0,0,0,248,0,0,0,267025,3171,0,0,21204,3193,330,9,0,28420,4271,0,4473,0,8784,0,0,20,0,435,0,20,0,0,0,0,0,0,712,319,393,712,5,0,NA,NA,NA,0,0,NA,NA,0,NA,7,0,1,NA,NA,0,NA,NA,0,0,0,227,14,241,NA,42,3,3648,3719,241,1137,1263,1101,829,1184,697,420,261,153,54,25,1,1,0,128,516,609,530,421,650,366,208,113,76,19,12,0,0,0,113,621,654,571,408,534,331,212,148,77,35,13,1,1,0,1127,0,0
G0100130,1850,Alabama,10,Butler,130,Butler,2591.00011016029,10836,35,16,19,3639,1840,1799,0,0,7162,3556,3606,26,2152,46551,102731,553,400170,46344,1565,3531,421,11997,926,27543,6913,15,25,0,1402,42,0,200,0,0,0,0,4094,0,0,0,305272,21,0,0,17041,910,30930,105,0,84890,0,0,5085,0,10851,3,0,3,144,91,6,3,0,0,0,0,0,0,916,412,504,916,1,0,NA,NA,NA,0,0,NA,NA,0,NA,1,0,1,NA,NA,0,NA,NA,0,0,0,171,85,256,NA,47,23,5412,5424,256,1660,1751,1592,1256,1639,1069,700,562,254,65,26,4,1,1,123,832,865,817,652,828,561,354,219,118,31,10,1,0,1,133,828,886,775,604,811,508,346,343,136,34,16,3,1,0,1210,0,0
G0100170,1850,Alabama,10,Chambers,170,Chambers,1935.33182299624,23960,18,11,7,11158,5561,5597,0,0,12784,6215,6569,63,8263,171290,225261,1342,2274615,169805,3778,4830,1962,10442,2187,50509,12954,156,51865,0,111712,45,0,0,0,0,0,0,17442,36,0,4,876038,2312,0,0,118962,24780,31043,239,0,166075,196,0,20281,0,20037,6,1,44,436,1045,14,45,4,85,0,0,0,0,2088,958,1130,2088,24,2,NA,NA,NA,0,0,NA,NA,0,NA,11,0,4,NA,NA,0,NA,NA,0,0,0,382,360,742,NA,90,130,11787,12173,742,3495,3939,3515,2914,3988,2381,1503,848,422,155,43,11,4,0,360,1692,1947,1692,1471,2015,1161,728,403,218,67,25,5,3,0,382,1803,1992,1823,1443,1973,1220,775,445,204,88,18,6,1,0,2138,1,0
G0100190,1850,Alabama,10,Cherokee,190,Cherokee,1881.20477530581,13884,23,16,7,1691,871,820,0,0,12170,5990,6180,28,7523,55158,126277,1126,1182398,81110,3005,4269,569,5857,1315,35413,6635,10,12487,21,108725,0,0,5596,4,0,837,40,2717,61,48,13,546986,8546,2,160,68678,14204,8296,192,0,79645,23582,0,15708,0,10523,1,0,83,30,1292,1,83,0,0,2,0,0,0,2304,1175,1129,2302,7,0,NA,NA,NA,0,0,NA,NA,0,NA,12,0,1,NA,NA,0,NA,NA,0,0,0,393,44,437,NA,81,25,6877,7007,437,1991,2253,1991,1668,2363,1324,946,502,267,103,26,11,2,0,205,969,1110,970,854,1240,644,451,240,130,42,14,6,2,0,232,1022,1143,1021,814,1123,680,495,262,137,61,12,5,0,0,2039,0,0
G0100230,1850,Alabama,10,Choctaw,230,Choctaw,2385.01372398,8389,0,0,0,3769,1813,1956,0,0,4620,2169,2451,37,1611,43367,128318,445,649393,53754,1494,3557,612,8156,1154,23890,3793,0,6752,0,29567,0,0,400,0,0,0,0,4433,0,0,0,269560,3786,0,0,15305,21281,78555,80,0,104911,0,0,470,0,7904,0,0,28,0,420,0,28,0,0,1,0,0,0,501,231,270,500,5,0,NA,NA,NA,0,0,NA,NA,0,NA,7,0,0,NA,NA,0,NA,NA,0,0,0,120,72,192,NA,49,19,3982,4407,192,1261,1333,1175,931,1449,962,549,295,177,43,19,2,1,0,93,601,631,553,495,690,439,252,131,74,18,4,0,1,0,99,660,702,622,436,759,523,297,164,103,25,15,2,0,0,760,0,1
