commodity,measure,year,price
best wheat,quarteranche,1568,11.67
good wheat,quarteranche,1568,10
mixed grain,quarteranche,1568,8.33
rye,quarteranche,1568,6.67
barley,boisseau,1568,4.17
oats,boisseau,1568,3
hempseed,boisseau,1568,6
peas,boisseau,1568,11.67
beans,boisseau,1568,11.67
Dijon best wine,queue,1568,280
village best wine,queue,1568,260
village good wine,queue,1568,200
best wheat,quarteranche,1569,13.33
good wheat,quarteranche,1569,10.83
mixed grain,quarteranche,1569,8.33
barley,boisseau,1569,6.67
oats,boisseau,1569,4.17
peas,boisseau,1569,13.33
beans,boisseau,1569,11.67
Dijon best wine,queue,1569,440
village best wine,queue,1569,360
village good wine,queue,1569,360
best wheat,quarteranche,1570,25
good wheat,quarteranche,1570,22
mixed grain,quarteranche,1570,18.33
rye,quarteranche,1570,14.33
barley,boisseau,1570,10
oats,boisseau,1570,5
hempseed,boisseau,1570,16.67
peas,boisseau,1570,18.33
beans,boisseau,1570,18.33
lentils,boisseau,1570,12
rapeseed,boisseau,1570,22.08
Dijon best wine,queue,1570,240
village best wine,queue,1570,120
village good wine,queue,1570,120
walnut oil,pint,1570,10
rapeseed oil,pint,1570,12.08
hempseed oil,pint,1570,11.67
best wheat,quarteranche,1571,25
good wheat,quarteranche,1571,20
mixed grain,quarteranche,1571,18
rye,quarteranche,1571,14
barley,boisseau,1571,9.5
oats,boisseau,1571,5
hempseed,boisseau,1571,15
peas,boisseau,1571,17
beans,boisseau,1571,7
lentils,boisseau,1571,12
rapeseed,boisseau,1571,22
Dijon best wine,queue,1571,560
village best wine,queue,1571,460
village good wine,queue,1571,380
walnut oil,pint,1571,9
rapeseed oil,pint,1571,10
hempseed oil,pint,1571,9
best wheat,quarteranche,1572,30
good wheat,quarteranche,1572,27.08
mixed grain,quarteranche,1572,25
rye,quarteranche,1572,22.5
barley,boisseau,1572,16.67
oats,boisseau,1572,8.33
hempseed,boisseau,1572,11.67
peas,boisseau,1572,27.67
beans,boisseau,1572,26.67
lentils,boisseau,1572,23.33
rapeseed,boisseau,1572,27.67
Dijon best wine,queue,1572,600
village best wine,queue,1572,440
village good wine,queue,1572,400
walnut oil,pint,1572,9.5
rapeseed oil,pint,1572,9.6
hempseed oil,pint,1572,8.33
best wheat,quarteranche,1573,36.67
good wheat,quarteranche,1573,30
mixed grain,quarteranche,1573,25
rye,quarteranche,1573,21.67
barley,boisseau,1573,16.67
oats,boisseau,1573,7.5
peas,boisseau,1573,30
beans,boisseau,1573,30
Dijon best wine,queue,1573,1200
village best wine,queue,1573,800
village good wine,queue,1573,800
best wheat,quarteranche,1574,30
good wheat,quarteranche,1574,25
mixed grain,quarteranche,1574,20
rye,quarteranche,1574,16.67
barley,boisseau,1574,11.67
oats,boisseau,1574,5
hempseed,boisseau,1574,16.67
peas,boisseau,1574,25
beans,boisseau,1574,20
lentils,boisseau,1574,16.67
rapeseed,boisseau,1574,30
Dijon best wine,queue,1574,800
village best wine,queue,1574,600
village good wine,queue,1574,600
walnut oil,pint,1574,12.5
rapeseed oil,pint,1574,12.5
hempseed oil,pint,1574,11.67
best wheat,quarteranche,1575,15
good wheat,quarteranche,1575,12.5
mixed grain,quarteranche,1575,10
rye,quarteranche,1575,8.33
barley,boisseau,1575,8.5
oats,boisseau,1575,5
hempseed,boisseau,1575,18.33
peas,boisseau,1575,14.19
beans,boisseau,1575,13.33
rapeseed,boisseau,1575,25
Dijon best wine,queue,1575,320
village best wine,queue,1575,240
village good wine,queue,1575,240
walnut oil,pint,1575,11.67
rapeseed oil,pint,1575,11.67
hempseed oil,pint,1575,10
wax,pound,1575,11.67
best wheat,quarteranche,1576,25.83
good wheat,quarteranche,1576,16.67
mixed grain,quarteranche,1576,12.5
rye,quarteranche,1576,8.33
barley,boisseau,1576,6
oats,boisseau,1576,5
hempseed,boisseau,1576,15
peas,boisseau,1576,15
beans,boisseau,1576,15
rapeseed,boisseau,1576,15
Dijon best wine,queue,1576,700
village best wine,queue,1576,500
village good wine,queue,1576,400
walnut oil,pint,1576,13.33
rapeseed oil,pint,1576,13.33
hempseed oil,pint,1576,13.33
wax,pound,1576,12
best wheat,quarteranche,1577,16.67
good wheat,quarteranche,1577,14.16
mixed grain,quarteranche,1577,11.67
rye,quarteranche,1577,9.17
barley,boisseau,1577,5
oats,boisseau,1577,4.16
hempseed,boisseau,1577,11.67
peas,boisseau,1577,10.83
beans,boisseau,1577,10
rapeseed,boisseau,1577,13.33
Dijon best wine,queue,1577,600
village best wine,queue,1577,500
village good wine,queue,1577,500
walnut oil,pint,1577,6.67
rapeseed oil,pint,1577,8.33
hempseed oil,pint,1577,8.33
wax,pound,1577,12
best wheat,quarteranche,1578,15
good wheat,quarteranche,1578,13.33
mixed grain,quarteranche,1578,11.67
rye,quarteranche,1578,8.33
barley,boisseau,1578,7.08
oats,boisseau,1578,6.67
peas,boisseau,1578,15
beans,boisseau,1578,12.5
rapeseed,boisseau,1578,30
Dijon best wine,queue,1578,480
village best wine,queue,1578,360
village good wine,queue,1578,280
walnut oil,pint,1578,9.16
rapeseed oil,pint,1578,10.83
wax,pound,1578,11.67
chickpeas,boisseau,1578,10.83
best wheat,quarteranche,1579,21
good wheat,quarteranche,1579,18
mixed grain,quarteranche,1579,15
rye,quarteranche,1579,11.67
barley,boisseau,1579,7.5
oats,boisseau,1579,5
hempseed,boisseau,1579,11.67
peas,boisseau,1579,18
beans,boisseau,1579,13.33
rapeseed,boisseau,1579,20
Dijon best wine,queue,1579,480
village best wine,queue,1579,340
village good wine,queue,1579,280
walnut oil,pint,1579,10
rapeseed oil,pint,1579,8.33
wax,pound,1579,12
chickpeas,boisseau,1579,6
best wheat,quarteranche,1580,21
good wheat,quarteranche,1580,18
mixed grain,quarteranche,1580,15
rye,quarteranche,1580,11.67
barley,boisseau,1580,7.5
oats,boisseau,1580,5
hempseed,boisseau,1580,11.67
peas,boisseau,1580,18
beans,boisseau,1580,13.33
rapeseed,boisseau,1580,20
Dijon best wine,queue,1580,440
village best wine,queue,1580,280
village good wine,queue,1580,240
walnut oil,pint,1580,10
rapeseed oil,pint,1580,8.3
wax,pound,1580,12
chickpeas,boisseau,1580,6
best wheat,quarteranche,1581,21
good wheat,quarteranche,1581,17.5
mixed grain,quarteranche,1581,14
rye,quarteranche,1581,11
barley,boisseau,1581,8.33
oats,boisseau,1581,7.5
hempseed,boisseau,1581,12.5
peas,boisseau,1581,20
beans,boisseau,1581,18
rapeseed,boisseau,1581,30
Dijon best wine,queue,1581,360
village best wine,queue,1581,280
village good wine,queue,1581,200
walnut oil,pint,1581,15
rapeseed oil,pint,1581,10
hempseed oil,pint,1581,9
wax,pound,1581,12
best wheat,quarteranche,1582,20
good wheat,quarteranche,1582,16.67
mixed grain,quarteranche,1582,14.16
rye,quarteranche,1582,10.83
barley,boisseau,1582,7.5
oats,boisseau,1582,5
hempseed,boisseau,1582,10.83
peas,boisseau,1582,20
beans,boisseau,1582,16.67
rapeseed,boisseau,1582,27.5
Dijon best wine,queue,1582,320
village best wine,queue,1582,220
village good wine,queue,1582,180
rapeseed oil,pint,1582,8.33
wax,pound,1582,12
best wheat,quarteranche,1583,22.5
good wheat,quarteranche,1583,20
mixed grain,quarteranche,1583,17.5
rye,quarteranche,1583,15
barley,boisseau,1583,11.67
oats,boisseau,1583,6.67
hempseed,boisseau,1583,13.33
peas,boisseau,1583,22.5
beans,boisseau,1583,16.67
rapeseed,boisseau,1583,33.33
Dijon best wine,queue,1583,320
village best wine,queue,1583,240
village good wine,queue,1583,200
walnut oil,pint,1583,10
rapeseed oil,pint,1583,10
hempseed oil,pint,1583,10.83
wax,pound,1583,13
best wheat,quarteranche,1584,20
good wheat,quarteranche,1584,16.5
mixed grain,quarteranche,1584,13.33
rye,quarteranche,1584,10
barley,boisseau,1584,7.5
oats,boisseau,1584,5
hempseed,boisseau,1584,8.33
peas,boisseau,1584,20
beans,boisseau,1584,16.5
rapeseed,boisseau,1584,20
Dijon best wine,queue,1584,320
village best wine,queue,1584,240
village good wine,queue,1584,180
walnut oil,pint,1584,7.5
rapeseed oil,pint,1584,7.5
hempseed oil,pint,1584,7.5
wax,pound,1584,13
best wheat,quarteranche,1585,40
good wheat,quarteranche,1585,35
mixed grain,quarteranche,1585,30
rye,quarteranche,1585,25
barley,boisseau,1585,16.5
oats,boisseau,1585,8.33
hempseed,boisseau,1585,13.33
peas,boisseau,1585,30
beans,boisseau,1585,25
rapeseed,boisseau,1585,25
Dijon best wine,queue,1585,480
village best wine,queue,1585,360
village good wine,queue,1585,300
walnut oil,pint,1585,15
rapeseed oil,pint,1585,13.33
wax,pound,1585,10
best wheat,quarteranche,1586,45
good wheat,quarteranche,1586,40
mixed grain,quarteranche,1586,35
rye,quarteranche,1586,30
barley,boisseau,1586,18.33
oats,boisseau,1586,9
hempseed,boisseau,1586,20
peas,boisseau,1586,35
beans,boisseau,1586,30
rapeseed,boisseau,1586,20
Dijon best wine,queue,1586,900
village best wine,queue,1586,780
village good wine,queue,1586,660
walnut oil,pint,1586,20
rapeseed oil,pint,1586,20
hempseed oil,pint,1586,13.33
wax,pound,1586,12
best wheat,quarteranche,1587,52
good wheat,quarteranche,1587,46
mixed grain,quarteranche,1587,38
rye,quarteranche,1587,34
barley,boisseau,1587,25
oats,boisseau,1587,13.33
hempseed,boisseau,1587,25
peas,boisseau,1587,50
beans,boisseau,1587,25
rapeseed,boisseau,1587,40
Dijon best wine,queue,1587,1200
village best wine,queue,1587,900
village good wine,queue,1587,800
walnut oil,pint,1587,15
rapeseed oil,pint,1587,16
wax,pound,1587,12
chickpeas,boisseau,1587,20
best wheat,quarteranche,1588,20
good wheat,quarteranche,1588,16.5
mixed grain,quarteranche,1588,13.33
rye,quarteranche,1588,12.5
barley,boisseau,1588,7
oats,boisseau,1588,5.5
hempseed,boisseau,1588,15
peas,boisseau,1588,20
beans,boisseau,1588,18
rapeseed,boisseau,1588,40
Dijon best wine,queue,1588,1200
village best wine,queue,1588,840
village good wine,queue,1588,660
walnut oil,pint,1588,13.33
rapeseed oil,pint,1588,12.5
hempseed oil,pint,1588,13.33
wax,pound,1588,12.5
chickpeas,boisseau,1588,16.67
best wheat,quarteranche,1589,29
good wheat,quarteranche,1589,25
mixed grain,quarteranche,1589,20
rye,quarteranche,1589,15
barley,boisseau,1589,8.33
oats,boisseau,1589,5.5
hempseed,boisseau,1589,25
peas,boisseau,1589,29
beans,boisseau,1589,21.5
rapeseed,boisseau,1589,50
Dijon best wine,queue,1589,1140
village best wine,queue,1589,840
village good wine,queue,1589,660
walnut oil,pint,1589,17.5
rapeseed oil,pint,1589,20
hempseed oil,pint,1589,17.5
wax,pound,1589,13.33
chickpeas,boisseau,1589,17.5
best wheat,quarteranche,1590,35
good wheat,quarteranche,1590,30
mixed grain,quarteranche,1590,25
rye,quarteranche,1590,20
barley,boisseau,1590,14.167
oats,boisseau,1590,7
hempseed,boisseau,1590,30
peas,boisseau,1590,33.33
beans,boisseau,1590,30
rapeseed,boisseau,1590,50
Dijon best wine,queue,1590,1200
village best wine,queue,1590,900
village good wine,queue,1590,780
walnut oil,pint,1590,20
rapeseed oil,pint,1590,22.5
hempseed oil,pint,1590,20
wax,pound,1590,14
chickpeas,boisseau,1590,20
best wheat,quarteranche,1591,30
good wheat,quarteranche,1591,25
mixed grain,quarteranche,1591,20
rye,quarteranche,1591,15
barley,boisseau,1591,10
oats,boisseau,1591,6
hempseed,boisseau,1591,20
peas,boisseau,1591,25
beans,boisseau,1591,20
rapeseed,boisseau,1591,40
Dijon best wine,queue,1591,660
village best wine,queue,1591,480
village good wine,queue,1591,400
walnut oil,pint,1591,20
rapeseed oil,pint,1591,18
hempseed oil,pint,1591,22.5
wax,pound,1591,15
chickpeas,boisseau,1591,20
best wheat,quarteranche,1592,55
good wheat,quarteranche,1592,50
mixed grain,quarteranche,1592,45
rye,quarteranche,1592,37.5
barley,boisseau,1592,22.5
oats,boisseau,1592,10
hempseed,boisseau,1592,40
peas,boisseau,1592,35
beans,boisseau,1592,30
rapeseed,boisseau,1592,50
Dijon best wine,queue,1592,720
village best wine,queue,1592,540
village good wine,queue,1592,480
walnut oil,pint,1592,30
rapeseed oil,pint,1592,25
hempseed oil,pint,1592,24
wax,pound,1592,15
chickpeas,boisseau,1592,20
best wheat,quarteranche,1593,24
good wheat,quarteranche,1593,20
mixed grain,quarteranche,1593,15
rye,quarteranche,1593,13.33
barley,boisseau,1593,10
oats,boisseau,1593,6
hempseed,boisseau,1593,15
peas,boisseau,1593,20
beans,boisseau,1593,16.67
lentils,boisseau,1593,16.67
rapeseed,boisseau,1593,22
Dijon best wine,queue,1593,600
village best wine,queue,1593,420
village good wine,queue,1593,360
walnut oil,pint,1593,10
rapeseed oil,pint,1593,10
hempseed oil,pint,1593,12
wax,pound,1593,12
chickpeas,boisseau,1593,10
best wheat,quarteranche,1594,25
good wheat,quarteranche,1594,20
mixed grain,quarteranche,1594,15
rye,quarteranche,1594,13.33
barley,boisseau,1594,8
oats,boisseau,1594,5
hempseed,boisseau,1594,13.33
peas,boisseau,1594,15
beans,boisseau,1594,13.33
lentils,boisseau,1594,13.33
rapeseed,boisseau,1594,25
Dijon best wine,queue,1594,600
village best wine,queue,1594,420
village good wine,queue,1594,360
walnut oil,pint,1594,13.33
rapeseed oil,pint,1594,12.5
hempseed oil,pint,1594,12.5
wax,pound,1594,15
chickpeas,boisseau,1594,15
best wheat,quarteranche,1595,40
good wheat,quarteranche,1595,35
mixed grain,quarteranche,1595,30
rye,quarteranche,1595,25
barley,boisseau,1595,13.67
oats,boisseau,1595,8.33
hempseed,boisseau,1595,30
peas,boisseau,1595,40
beans,boisseau,1595,30
lentils,boisseau,1595,30
rapeseed,boisseau,1595,50
Dijon best wine,queue,1595,1080
village best wine,queue,1595,800
village good wine,queue,1595,720
walnut oil,pint,1595,20
rapeseed oil,pint,1595,20
hempseed oil,pint,1595,18
wax,pound,1595,12
chickpeas,boisseau,1595,18
best wheat,quarteranche,1596,55
good wheat,quarteranche,1596,50
mixed grain,quarteranche,1596,40
rye,quarteranche,1596,35
barley,boisseau,1596,25
oats,boisseau,1596,12.5
hempseed,boisseau,1596,20
peas,boisseau,1596,40
beans,boisseau,1596,25
lentils,boisseau,1596,30
rapeseed,boisseau,1596,45
Dijon best wine,queue,1596,960
village best wine,queue,1596,720
village good wine,queue,1596,600
walnut oil,pint,1596,20
rapeseed oil,pint,1596,20
hempseed oil,pint,1596,15
chickpeas,boisseau,1596,30
best wheat,quarteranche,1597,33
good wheat,quarteranche,1597,30
mixed grain,quarteranche,1597,24
rye,quarteranche,1597,22
barley,boisseau,1597,17
oats,boisseau,1597,12
hempseed,boisseau,1597,19
peas,boisseau,1597,30
beans,boisseau,1597,20
lentils,boisseau,1597,16
rapeseed,boisseau,1597,27
Dijon best wine,queue,1597,960
village best wine,queue,1597,720
village good wine,queue,1597,540
walnut oil,pint,1597,13.33
rapeseed oil,pint,1597,13.33
hempseed oil,pint,1597,13.33
chickpeas,boisseau,1597,20
best wheat,quarteranche,1598,25
good wheat,quarteranche,1598,23
mixed grain,quarteranche,1598,19
rye,quarteranche,1598,15
barley,boisseau,1598,9
oats,boisseau,1598,7
hempseed,boisseau,1598,20
peas,boisseau,1598,23
beans,boisseau,1598,23
lentils,boisseau,1598,23
rapeseed,boisseau,1598,35
Dijon best wine,queue,1598,1200
village best wine,queue,1598,900
village good wine,queue,1598,720
walnut oil,pint,1598,13.33
rapeseed oil,pint,1598,13.33
hempseed oil,pint,1598,13.33
best wheat,quarteranche,1599,19
good wheat,quarteranche,1599,16.5
mixed grain,quarteranche,1599,12
rye,quarteranche,1599,8
barley,boisseau,1599,6
oats,boisseau,1599,5
hempseed,boisseau,1599,12
peas,boisseau,1599,14
beans,boisseau,1599,12
lentils,boisseau,1599,10
rapeseed,boisseau,1599,25
Dijon best wine,queue,1599,480
village best wine,queue,1599,240
village good wine,queue,1599,180
walnut oil,pint,1599,10
rapeseed oil,pint,1599,8.33
hempseed oil,pint,1599,8
best wheat,quarteranche,1600,20
good wheat,quarteranche,1600,17.5
mixed grain,quarteranche,1600,14
rye,quarteranche,1600,10
barley,boisseau,1600,10
oats,boisseau,1600,10
hempseed,boisseau,1600,16
peas,boisseau,1600,17.5
beans,boisseau,1600,12
lentils,boisseau,1600,12
rapeseed,boisseau,1600,28
Dijon best wine,queue,1600,450
village best wine,queue,1600,330
village good wine,queue,1600,240
walnut oil,pint,1600,10
rapeseed oil,pint,1600,13
hempseed oil,pint,1600,14
chickpeas,boisseau,1600,20
best wheat,quarteranche,1601,17
good wheat,quarteranche,1601,15
mixed grain,quarteranche,1601,12
rye,quarteranche,1601,9
barley,boisseau,1601,6
oats,boisseau,1601,4
hempseed,boisseau,1601,15
peas,boisseau,1601,17
beans,boisseau,1601,12
lentils,boisseau,1601,12
rapeseed,boisseau,1601,28
Dijon best wine,queue,1601,900
village best wine,queue,1601,600
village good wine,queue,1601,420
walnut oil,pint,1601,15
rapeseed oil,pint,1601,15
hempseed oil,pint,1601,12
chickpeas,boisseau,1601,15
best wheat,quarteranche,1602,20
good wheat,quarteranche,1602,17
mixed grain,quarteranche,1602,14
rye,quarteranche,1602,12
barley,boisseau,1602,7
oats,boisseau,1602,5
hempseed,boisseau,1602,14
peas,boisseau,1602,20
beans,boisseau,1602,20
lentils,boisseau,1602,14
rapeseed,boisseau,1602,22
Dijon best wine,queue,1602,1440
village best wine,queue,1602,960
village good wine,queue,1602,720
walnut oil,pint,1602,17.5
rapeseed oil,pint,1602,15
hempseed oil,pint,1602,11
chickpeas,boisseau,1602,15
best wheat,quarteranche,1603,30
good wheat,quarteranche,1603,27
mixed grain,quarteranche,1603,24
rye,quarteranche,1603,20
barley,boisseau,1603,12
oats,boisseau,1603,8
hempseed,boisseau,1603,10
peas,boisseau,1603,30
beans,boisseau,1603,20
lentils,boisseau,1603,20
rapeseed,boisseau,1603,32
Dijon best wine,queue,1603,800
village best wine,queue,1603,540
village good wine,queue,1603,480
walnut oil,pint,1603,8
rapeseed oil,pint,1603,12
hempseed oil,pint,1603,8
chickpeas,boisseau,1603,15
best wheat,quarteranche,1604,22
good wheat,quarteranche,1604,17
mixed grain,quarteranche,1604,15
rye,quarteranche,1604,13
barley,boisseau,1604,8
oats,boisseau,1604,6
hempseed,boisseau,1604,18
peas,boisseau,1604,22
beans,boisseau,1604,18
lentils,boisseau,1604,12
rapeseed,boisseau,1604,18
Dijon best wine,queue,1604,360
village best wine,queue,1604,480
village good wine,queue,1604,200
walnut oil,pint,1604,9
rapeseed oil,pint,1604,10
hempseed oil,pint,1604,10
chickpeas,boisseau,1604,10
best wheat,quarteranche,1605,20
good wheat,quarteranche,1605,17
mixed grain,quarteranche,1605,14
rye,quarteranche,1605,11
barley,boisseau,1605,7.5
oats,boisseau,1605,6
hempseed,boisseau,1605,16
peas,boisseau,1605,20
beans,boisseau,1605,16.5
lentils,boisseau,1605,10
rapeseed,boisseau,1605,27
Dijon best wine,queue,1605,420
village best wine,queue,1605,300
village good wine,queue,1605,240
walnut oil,pint,1605,15
rapeseed oil,pint,1605,12
hempseed oil,pint,1605,12
chickpeas,boisseau,1605,10
best wheat,quarteranche,1606,28
good wheat,quarteranche,1606,25
mixed grain,quarteranche,1606,17
rye,quarteranche,1606,13
barley,boisseau,1606,8
oats,boisseau,1606,6
hempseed,boisseau,1606,28
peas,boisseau,1606,20
beans,boisseau,1606,18
lentils,boisseau,1606,15
Dijon best wine,queue,1606,900
village best wine,queue,1606,600
village good wine,queue,1606,480
rapeseed oil,pint,1606,18
best wheat,quarteranche,1607,27
good wheat,quarteranche,1607,24
mixed grain,quarteranche,1607,18
rye,quarteranche,1607,14
barley,boisseau,1607,7.5
oats,boisseau,1607,5
hempseed,boisseau,1607,20
peas,boisseau,1607,15
beans,boisseau,1607,12
lentils,boisseau,1607,10
